"year","hotspot","jan_calc","feb_calc","mar_calc","apr_calc","may_calc","jun_calc","jul_calc","aug_calc","sep_calc","oct_calc","nov_calc","dec_calc","1daymin_calc","1daymax_calc","3daymin_calc","3daymax_calc","7daymin_calc","7daymax_calc","30daymin_calc","30daymax_calc","90daymin_calc","90daymax_calc","dayofmin_calc","dayofmax_calc","hipulse_no_calc","lopulse_no_calc","hipulse_dur_calc","lopulse_dur_calc","ave_increa_calc","ave_decrea_calc","No. Rises_calc","No. Falls_calc","jan_tar","feb_tar","mar_tar","apr_tar","may_tar","jun_tar","jul_tar","aug_tar","sep_tar","oct_tar","nov_tar","dec_tar","1daymin_tar","1daymax_tar","3daymin_tar","3daymax_tar","7daymin_tar","7daymax_tar","30daymin_tar","30daymax_tar","90daymin_tar","90daymax_tar","dayofmin_tar","dayofmax_tar","hipulse_no_tar","lopulse_no_tar","hipulse_dur_tar","lopulse_dur_tar","ave_increa_tar","ave_decrea_tar","No. Rises_tar","No. Falls_tar","jan_allowed_dev","feb_allowed_dev","mar_allowed_dev","apr_allowed_dev","may_allowed_dev","jun_allowed_dev","jul_allowed_dev","aug_allowed_dev","sep_allowed_dev","oct_allowed_dev","nov_allowed_dev","dec_allowed_dev","1daymin_allowed_dev","1daymax_allowed_dev","3daymin_allowed_dev","3daymax_allowed_dev","7daymin_allowed_dev","7daymax_allowed_dev","30daymin_allowed_dev","30daymax_allowed_dev","90daymin_allowed_dev","90daymax_allowed_dev","dayofmin_allowed_dev","dayofmax_allowed_dev","hipulse_no_allowed_dev","lopulse_no_allowed_dev","hipulse_dur_allowed_dev","lopulse_dur_allowed_dev","ave_increa_allowed_dev","ave_decrea_allowed_dev","No. Rises_allowed_dev","No. Falls_allowed_dev"
1,1,0.00903225806451613,0.0639285714285714,0.01,10.605,468.576129032258,1143.402,3387.47870967742,8228.03129032258,7687.89133333333,6195.60322580645,5139.836,3889.91225806452,0,16149.25,0,42503.69,0,84786.03,0,280345.73,2.38,670539.35,1,237,2,173,2,173,397.829351851852,-226.818197674419,108,172,1032548.93772919,2548250.12105801,22024241.7815285,70577049.0792818,172128743.297186,125955047.009494,66812837.401973,30631370.2930408,9092666.50430064,4776193.69739712,3710286.35090976,1577069.62614132,431277.192121396,164770210.562595,1372942.52937861,604390862.154746,4702201.39748953,1125045210.92873,23664074.1208746,6057137594.24609,377404978.395687,8520281572.23153,55.0107427113689,100.15349629987,37.8189898917917,130.909499916248,29.9810397585388,128.681360938121,2154211.10734828,-732340.573277725,96.9434940507635,242.063405385707,95756.5476624189,280488.024807749,2046579.6358172,6047174.83249833,9611586.65606823,8321757.17812706,5087612.10894891,1490249.12996057,732145.04692314,496478.700737135,168553.562844228,155636.738669934,27662.4673644442,11127257.9202533,111592.542362508,31744228.4585377,257172.800402418,89196268.1776822,1621457.80902161,315749268.111295,19486373.3275992,1069158484.40977,4.22124423738569,9.77199974865653,3.36996720004827,6.64776497147977,2.01431273901835,9.62003557230346,161618.707596222,-49892.6532739171,5.62694682106376,15.4851220322307
1,2,0.0145161290322581,0.235267857142857,0.269516129032258,0.783416666666667,116.987096774194,436.163083333333,1396.71564516129,3468.43629032258,3808.043,3542.55475806452,3168.87691666667,2550.99112903226,0,6226.0975,0,17345.715,0,36403.32,0.2375,133438.9175,15.3525,344851.145,1,255.5,52.5,149.75,52.5,113.21875,149.488266501421,-70.7800691740685,107.75,168,502064.764605224,3368120.52899362,14246257.538032,25454995.39335,55267248.8066216,28593601.3906124,17362980.0705362,6339198.82420975,3205990.70468506,2115240.48726449,919518.187791659,524983.513112938,236860.82355172,51806002.0181978,799024.244659477,145323850.992533,1488978.83652139,279887693.972062,10550866.7527486,1175843788.33423,115924275.150385,3126503245.63115,75.1437355577946,193.956567399669,29.4418114731088,110.324635573605,31.2063315699343,112.372118266645,1013560.04226232,-226970.121973515,98.5964806989068,227.344742673682,40337.716452995,182914.73402569,1064720.78923824,1510881.65458656,4309097.24982189,3291148.62019755,1726187.78396139,754898.961504943,337630.077589685,172066.877551056,73634.8626574124,51890.1674813412,20073.5186440517,4644216.40175121,76090.8713405766,11139132.2819508,160431.708740328,30516428.0602548,948872.499360323,93143001.780396,8218560.66145116,168716939.300781,6.18484086841345,11.5389191394206,1.59044190768909,6.33965458834427,2.238758401823,11.1447673864019,79676.2612548509,-18838.2172367635,4.83934766927268,25.5256066743052
1,3,0,0,0,5.989,464.660967741936,1200.044,3604.29225806452,8692.04806451613,7985.71266666667,6345.07870967742,5224.48366666667,3951.40870967742,0,16627.21,0,43984.24,0,88038.59,0,292105.4,0,697463.35,1,237,2,174,2,174,406.381981132075,-250.61608974359,106,156,1111068.67887635,3906750.6014968,20561795.8300349,70642093.6461968,187658106.41035,118006028.884052,76371160.7800466,28561491.1616005,12984663.7366762,7506896.11083577,3981439.51868468,1456393.23932616,546567.213858735,240566903.055014,1761281.31599093,582225347.043313,3274984.90453577,1369491011.72177,26712911.89346,6140069823.57607,400894204.39928,13443835077.4722,47.4767960589379,150.517360189464,36.6862997969147,120.445286501432,41.5556356410962,149.362546030199,1889775.31306118,-1000475.03563986,93.2776935817674,274.423661404289,59602.964008302,317322.991976906,1195405.26501479,4447076.53742536,16289348.7110528,10535620.234972,5236738.78789521,2541053.18784083,1160666.01622167,395665.61247275,265276.098370138,89472.9417713134,43051.5378806026,18770595.4591038,147177.322823355,30566280.3405673,369358.878129306,87019778.8239957,1425428.27487442,494716655.036032,21760746.7356005,959143178.425561,3.41402073178906,8.8728250907734,3.03129460348282,10.5061471091118,3.37790103380103,12.0378081638133,201341.611786297,-64579.5211248321,9.50500496281311,24.1397767325398
1,4,0.284193548387097,1.57121428571429,2.30290322580645,7.5364,323.487419354839,1066.36286666667,3499.70503225806,9969.75696774194,10482.4769333333,8016.19393548387,6269.15413333333,4577.00090322581,0,15347.17,0,43686.208,0,94973.234,7.504,353257.54,124.194,864061.602,1,239,19.6,172.2,19.6,126.92,272.556886627139,-172.894843177795,120.8,152,1619589.39845381,2371719.26924358,23342415.9231603,105815593.088765,314599475.781757,238591663.829999,146739582.314366,52908453.5505498,28541219.954705,14099502.1163996,5020703.60035997,3617778.11009948,785648.62822312,256679919.255153,3025735.46163689,1070569477.30181,6402210.71373766,2215786516.37761,30286468.5725852,9867696227.54441,665451471.01095,24624760854.3427,36.3745365841314,158.168197080493,30.5907145047095,137.745372287068,29.4194119400345,134.310739795212,3133671.50437151,-1095259.30855554,95.6083401775919,271.382443741523,104282.735671593,139597.789225581,2092053.68086784,10798463.9152007,17295572.7266138,13402538.7587796,7141267.80764283,3003129.79985656,2064702.45488887,896511.065848746,486618.950888588,274473.144710223,49893.538554783,25401511.4786339,191714.783559737,62759257.7314456,340879.527937923,191258262.077037,2014887.36629973,487103404.823525,40652215.27253,1838916118.54381,4.18528346640989,11.0906248364015,2.478191901627,11.6234085752256,2.93269206203986,12.1158938027965,172264.729223752,-122798.630915136,9.35501573360525,24.9848069644719
1,5,0.00161290322580645,0.0320714285714286,0.39341935483871,3.6598,169.963677419355,690.5214,2151.97961290323,8519.94180645161,13980.3457333333,11618.1476774194,8628.33626666667,6143.62470967742,0,15087.452,0,44924.664,0,104270.184,0.038,432642.8,13.144,1092283.786,1,255,47.6,156.6,43.8,156.6,128.71785701162,-85.8029637104815,135,140,3583828.51775725,1369103.50499701,20102900.3264692,182230011.374737,410440491.252573,347441638.709811,218881040.643458,106756606.819268,50653371.0271571,22515752.875522,15333699.7140129,7013940.17323412,1177279.14530501,414330418.553535,5169057.04493072,1218545322.06496,10529966.8377843,3642356506.91367,50295436.0264919,14046266166.83,689324559.73431,36314991676.5695,64.7959743095562,146.051515453588,54.0529843556229,113.454198537627,46.6681962789036,143.35169494478,3960236.72770484,-1331765.27309863,108.416499219416,272.656731920689,250670.19598769,173723.801320641,1171938.09870028,16146897.6443487,24749914.6455846,38641915.7071738,15707745.8935141,8205823.66535596,3330008.89632482,2520917.03638472,1107209.45777902,617443.767806756,78073.2691358862,27293038.6173578,388714.888288272,125527782.755565,676170.601562569,305582353.894468,4279883.80281131,1198784813.26119,41013367.7487856,1707542176.84498,5.16688010461163,11.161401029909,3.43749707724201,8.16391685022973,3.0018352115876,13.8396311630029,283832.393411247,-106553.078496068,5.7954959173128,25.7646814629715
1,6,0,0,1.03729032258065,19.5089333333333,1139.30064516129,4065.06693333333,7518.44419354839,14200.8485806452,23941.9598666667,20679.7564516129,14273.586,9341.52690322581,0,25916.798,0,77344.206,0,178232.718,0,732897.964,32.156,1851620.976,1,262.2,44.2,178.2,44.2,178.2,205.996333078966,-170.085930290025,144.4,135.4,4471164.00137876,2553024.54015713,30411233.0706743,446090191.862759,645482185.514908,595648128.336081,369314859.220188,305246849.619636,136638107.79615,51931912.9659549,24013218.7383138,10576468.4830265,2106295.52801508,877725495.074067,6471848.34318064,2639761733.13604,17242714.1003073,5912569156.84151,96243461.0253328,25010974499.0502,1175453975.68108,55156924781.5242,47.053137270594,173.781187564041,53.9376511540031,173.249465453764,61.4252235593507,167.257574566221,7406486.90580298,-2445943.96566043,102.580171118956,268.589127526712,489457.183324133,271046.861550462,3046270.1618647,28592976.6779173,72220202.1072873,48526191.5411864,26520735.3078565,21434319.8122545,10960079.6837661,4444409.13360525,2173917.44593996,1295298.29482166,119349.688612766,83678059.124586,404769.113239535,248386916.035306,1047831.14459733,373099868.456713,6922210.56904639,1467415737.56756,71743801.8822254,3681104195.8731,4.35916406947188,9.13310403124429,3.64847233594395,11.3215830439562,4.96002234523185,14.9453812914155,912513.40688721,-167140.333334329,6.8475043651415,18.3297146737296
1,7,0,0.000714285714285714,0,0.0326666666666667,4.45967741935484,21.8216666666667,22.5332258064516,34.74,34.173,21.4306451612903,15.06,5.84096774193548,0,87.13,0,192.44,0,342.87,0,1115.08,0.02,2847.63,1,218,2,132,1,14.6666666666667,8.97575757575758,-3.10942105263158,66,190,24489.4958823355,9783.21095998395,122117.227232427,2793557.13359336,3572458.29626378,2310974.38285611,796727.045075759,535445.320436253,200666.75672694,104381.702690205,50859.9804512641,29950.436392899,9094.35727183375,4954063.70901046,25427.4191201477,13609166.0611825,56512.4008574485,31742756.6298769,260709.374122796,109564045.731879,4008910.35470956,200145094.450779,99.444785064552,142.547039914993,35.1626741476357,120.741383522283,37.0158014558256,49.8582368757343,96053.5527163214,-11831.7225553217,45.7171412308235,341.411733533605,1249.98490878439,1170.04927608581,11320.3598476348,169064.134602752,241380.927596017,188217.750031347,72724.8151504755,37920.2205528107,14292.5765662705,5611.97340719178,4634.84647532566,1421.70320004624,612.366419339294,287088.48352403,1613.6498998536,727294.371268374,2893.66805125835,1724584.78661946,18244.8647795038,11591037.5930119,312403.028257748,23045909.8029166,5.33369861086831,11.9842215240584,2.66960928700864,5.89717686222866,1.69203964658082,5.0741358150146,5849.23136263808,-1382.8192842786,4.1271958601661,19.8552308651269
1,8,0,0,0.00129032258064516,0.0156666666666667,0.553870967741935,3.95133333333333,2.27387096774194,7.5758064516129,8.09433333333333,5.89741935483871,2.36,0.720645161290323,0,63.41,0,86.71,0,115.53,0,293.36,0.04,656.33,1,269,1,10,1,1.25,3.77590909090909,-2.06248447204969,88,161,8661.24350165395,5082.03139301813,12066.251278711,884324.485721234,1749998.89363761,998191.011465669,423095.049360571,178447.373331889,106094.071058993,48377.3298857779,24257.4519409711,9544.64482156707,2223.75912589558,1717738.17787719,8917.05046050661,5258193.95584144,23812.0862155584,10447449.070914,117968.560941902,51864106.0414368,635886.667322176,101271528.804534,100.054469996132,105.56178029743,36.4721791521879,116.084189604968,26.7924558435334,61.8703485674341,26880.6934161458,-5851.27342524719,57.7969579899218,352.046783728292,364.464061651404,242.718389082941,701.284202491151,37454.1583566882,103951.10230679,53612.1529214337,27524.2424093351,13755.3987542528,9270.03923614854,3226.89864668754,1909.13364824793,731.017103846453,245.197375464864,108878.039067025,804.664261816759,292831.107019843,1784.93951164271,786659.778148988,7066.05452088643,3365333.70108565,64261.2186441568,5270002.02187912,8.17193991942331,12.382688840176,2.24551994871581,7.33045765383868,2.15823422197718,5.72981524475617,1454.0808374188,-340.792418866,4.95886198966764,20.5448740507709
1,9,0,0.394285714285714,16.1983870967742,61.15,973.685483870968,1771.94466666667,3013.08096774194,3659.10774193548,2712.27966666667,1723.7364516129,997.878666666667,449.014193548387,0,4773.14,0,14040.89,0,30705.14,0,117496.87,513.19,283724.56,1,211,19,187,6.33333333333333,93.5,84.2629090909091,-43.5683495145631,110,206,65558.5591993974,9000.52015572522,1525775.39010021,59269529.0867954,62001053.3594913,29032506.3327246,17278316.4185792,8833850.67173146,3279888.76095658,1691779.19694019,1230492.97829064,502300.902545442,0,60856736.6672929,0,267653011.030376,1339.05935233836,559946382.70438,59616.5146335817,2175325793.84971,58015269.4596255,4910439813.99048,64.4244237503735,122.61752847617,42.0436278129928,87.5541045477148,42.0894254003651,105.065081259934,851880.082098644,-399022.833302389,86.7231321372092,292.122505476815,3585.47614711459,510.013691193844,117139.170747123,4594690.59951444,5400591.79270217,1663393.10771024,791749.655289029,623072.552564782,333822.981483066,130651.174961016,66943.3112127471,50032.1199305607,0,3867458.53157285,0,13409463.0067597,98.1788394884955,36785566.1202147,4387.10379744602,131365531.583851,3276435.99992485,396183442.179893,3.43935191020137,6.96925901857903,2.84907072717324,8.87818048100453,2.43607856095769,9.34889467060566,86316.1120737503,-24870.1289090253,6.69380296468735,22.1518295788905
1,10,0,0,0.00637096774193548,0.2965,5.64120967741935,28.12825,48.0887096774194,110.371774193548,90.78375,61.4947580645161,34.32975,16.1287903225806,0,292.3925,0,678.705,0,1256.01,0,3627.235,0.1975,8106.8,1,238.5,2,58.75,1.5,16.3587719298246,14.2135247839707,-7.37832667572718,92.25,163.5,47024.5045090051,28011.849950533,1416663.45396885,10308772.3927542,7358022.18849743,6254810.18531932,3188890.78780634,1191439.01144043,450395.175041165,325107.752942314,107594.414144204,93333.2168857117,16638.2318107084,8037348.48475861,43306.8013272011,25131430.3632741,147399.457107026,80184782.9827595,715722.955857446,339900860.918841,12021237.3082345,588844014.99575,84.8216246515512,97.4120499701821,46.7221850983333,102.972808937891,37.6888507143594,94.1432512244792,156688.02896954,-46975.787849309,73.4544317456894,253.098433343694,2797.17342662253,2072.35877627572,136789.420018217,896854.677689204,652685.353549526,290817.082894513,193842.190710549,77157.1968908099,44161.9091553788,22375.21500977,9631.41903470623,6178.71369800812,955.979580860825,757207.425789891,4663.50746717847,3121852.62786765,9990.43306391586,4412798.47445166,53360.9914746885,18680783.1553498,1149986.52605904,69812701.196986,4.11247752369382,7.10136246003967,2.71654669074342,9.72254047906317,2.50333673092537,12.0091613903758,8511.01835524459,-3501.02022564097,8.19890434336849,26.29396695178
